"Number","Code","Message"
"1","1","NA"
"2","1","JH01--> Tangkak-Pagoh-Muar"
"3","1","JH05-->Yong Peng- Parit Raja -Batu Pahat"
"4","1","JH06-->Ayer hitam-Kluang"
"5","1","JH09-->Kulai-Senai-Skudai-Johor Bharu"
"6","1","JH10-->Pdn-Plentong-Masai-Pasir gudang-Nusajaya"
"7","1","NA"
"8","1","NA"
"9","1","NA"
"10","1","NA"
"11","1","NA"
"12","1","NA"
"13","1","NA"
"14","1","NA"
"15","1","NA"
"16","1","NA"
"17","1","NA"
"18","1","NA"
"19","1","NA"
"20","1","NA"
"21","1","NA"
"22","1","NA"
"23","1","MC01-->Tampin-Melaka"
"24","1","NS01-->Nilai-Mantin"
"25","1","NS04-->Port Dickson-Lukut"
"26","1","NS05-->Seremban"
"27","1","NS06-->Kuala Pilah-Bahau-Gemas"
"28","1","PH01-->Karak"
"29","1","PH03-->Raub"
"30","1","PH05-->Jerantut & Damak"
"31","1","PH07-->Bera"
"32","1","PH09-->Kuantan"
"33","1","PK01-->Sabak Bernam-Hutan Melintang"
"34","1","PK02-->Teluk Intan - Langkap - Slim River"
"35","1","PK04-->Ipoh - Town"
"36","1","PK05-->Batu Gajah - Menglembu - Lahat - Tapah"
"37","1","TR02-->Kemaman "
"38","1","ZNA"
"39","1","PH02-->Bentong"
"40","1","PH04-->Benta & Lipis"
"41","1","PH06-->Lanchang-K.Krau-Mentakab-Temerloh"
"42","1","NA"
"43","1","NA"
"44","1","NA"
"45","1","KV24-->SEMENYIH"
"46","1","NA"
"47","1","NA"
"48","1","NA"
"49","1","NA"
"50","1","NA"
"51","1","NA"
"52","1","NA"
"53","1","NA"
"54","1","SBH01-->KOTA KINABALU"
"55","1","SRW04-->KUCHING"
"56","1","SRW03-->SIBU"
"57","1","SRW01-->BINTULU"
"58","1","KLT01-->KOTA BHARU"
"59","1","SRW02-->MIRI"
"60","1","PH10-->MENTAKAB"
"61","1","PH11-->TEMERLOH"
"62","1","PG01-->PENANG ISLAND"
"63","1","PG02-->PENANG MAINLAND"
"64","1","KDH01-->KEDAH"
"65","1","TR01-->TERENGGANU"
"66","1","KV01A - T.MALIM - K.KUBU  - B.KALI  -N 1"
"67","1","KV02A - B.BERUNTUNG - SERENDAH - RAWANG - N 2"
"68","1","KV03A- K.SELANGOR - SEKINCHAN - T.KARANG - S.BESAR - WN 1"
"69","1","KV04A - SUNGAI BULOH - U5 - KOTA DAMANSARA - N 4"
"70","1","KV05A - SELAYANG - BATU CAVES - N 5"
"71","1","KV06A - KEPONG - SRI DAMANSARA - MONT KIARA - N 6 "
"72","1","KV07A - SEGAMBUT - SENTUL - NE 1"
"73","1","KV08A - GOMBAK - SETAPAK - NE 2"
"74","1","KV09A - WANGSAMAJU - AMPANG SOURTH -NE 3  ** START UKAY"
"75","1","KV10A - CHOW KIT - RAJA LAUT - KL - E 1"
"76","1","KV11A - PUDU - AMPANG NORTH - CHERAS NORTH - E 2"
"77","1","KV12A - BANGSAR - BRICKFIELD - TAMAN DESA - KUCHAI LAMA - OUG - KINRARA - ES 1"
"78","1","KV13A - S.KEMBANGAN - SERDANG - B.JALIL- P.JALIL - ES 2"
"79","1","KV14A - PUTRA PERDANA - B.B.PUCHONG - USJ - SUBANG 1 - C 1"
"80","1","KV15A - SUNWAY - GLENMARIE - PJ OLD TOWN - C 2"
"81","1","KV16A - SUBANG GOLF CLUB - SEA PARK - UM - C 3"
"82","1","KV17A - SUBANG AIRPORT - ARA DAMANSARA - BU - BUKIT DAMAN SARA -C 4"
"83","1","KV18A - SUNGAI BESI - BALAKONG - SERDANG - SE 3"
"84","1","KV19A - HULU LANGAT - CHERAS SOUTH - KAJANG - SE 4 ** START BATU 9"
"85","1","KV20A - SEMENYIH - BANGI - BERANANG - MANTIN - SE 5"
"86","1","KV21A - PUNCAK ALAM - KAPAR - SETIA ALAM - HOSPITAL SHAH ALAM - C 5"
"87","1","KV22A - S.ALAM - S.MUDA - K.KEMUNING - C 6"
"88","1","KV23A - PANDAMARAN - P.KLANG - B.TINGGI - T.GONG - P.INDAH - W 1 "
"89","1","KV24A - DENGKIL - CYBER - PUTRAJAYA - KLIA - S 1"
"90","1","KV25A - JENJAROM - BANTING - T.SEPAT - T.P.GARANG - S 2"
"91","1","PK03 - CAMERON HIGHLAND"
"92","1","PK06 --> Manjung - Pantai Remis"
"93","1","PK07 --> Tanjung Rambutan - Sungai Siput"
"94","1","PK08 --> Taiping"
